recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets
REC0000867,normal,0,5,2,4,salicylic acid cleanser,oil free gel moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000868,normal,0,5,2,4,ultra gentle cleanser,light lotion moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000869,normal,0,5,3,5,gentle foam cleanser,oil free gel moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000870,normal,0,5,4,0,gentle foam cleanser,light lotion moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000871,normal,0,5,5,0,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000872,normal,0,5,5,3,hydrating cleanser,soothing moisturizer,peptide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000873,normal,1,0,0,4,milk cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000874,normal,1,0,1,0,milk cleanser,oil free gel moisturizer,vitamin c serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000875,normal,1,0,1,0,salicylic acid cleanser,rich cream moisturizer,peptide serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000876,normal,1,0,3,2,acne control cleanser,soothing moisturizer,peptide serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000877,normal,1,0,3,2,salicylic acid cleanser,oil free gel moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000878,normal,1,0,5,3,acne control cleanser,soothing moisturizer,centella serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000879,normal,1,1,0,3,salicylic acid cleanser,rich cream moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000880,normal,1,1,0,4,hydrating cleanser,soothing moisturizer,vitamin c serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000881,normal,1,1,1,1,gentle foam cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000882,normal,1,1,2,2,ultra gentle cleanser,soothing moisturizer,retinol serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000883,normal,1,1,3,1,salicylic acid cleanser,rich cream moisturizer,centella serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000884,normal,1,1,4,1,salicylic acid cleanser,light lotion moisturizer,niacinamide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000885,normal,1,1,4,2,milk cleanser,soothing moisturizer,centella serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000886,normal,1,1,5,4,hydrating cleanser,ceramide moisturizer,vitamin c serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000887,normal,1,1,5,5,gentle foam cleanser,soothing moisturizer,centella serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000888,normal,1,2,0,1,hydrating cleanser,oil free gel moisturizer,retinol serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000889,normal,1,2,0,1,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000890,normal,1,2,1,4,milk cleanser,rich cream moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000891,normal,1,2,1,5,gentle foam cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000892,normal,1,2,2,0,milk cleanser,soothing moisturizer,retinol serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000893,normal,1,2,2,1,milk cleanser,light lotion moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000894,normal,1,2,2,5,acne control cleanser,soothing moisturizer,niacinamide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000895,normal,1,2,3,1,hydrating cleanser,rich cream moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000896,normal,1,2,3,2,salicylic acid cleanser,ceramide moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000897,normal,1,3,0,2,hydrating cleanser,ceramide moisturizer,niacinamide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000898,normal,1,3,0,5,salicylic acid cleanser,rich cream moisturizer,vitamin c serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000899,normal,1,3,1,1,gentle foam cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000900,normal,1,3,2,4,ultra gentle cleanser,rich cream moisturizer,peptide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000901,normal,1,3,4,4,acne control cleanser,oil free gel moisturizer,peptide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000902,normal,1,3,4,4,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000903,normal,1,3,5,1,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000904,normal,1,3,5,1,milk cleanser,soothing moisturizer,centella serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000905,normal,1,4,0,0,ultra gentle cleanser,oil free gel moisturizer,centella serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000906,normal,1,4,0,5,acne control cleanser,soothing moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000907,normal,1,4,1,1,milk cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000908,normal,1,4,1,5,gentle foam cleanser,light lotion moisturizer,retinol serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000909,normal,1,4,2,4,ultra gentle cleanser,oil free gel moisturizer,vitamin c serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000910,normal,1,4,2,5,gentle foam cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000911,normal,1,4,3,0,ultra gentle cleanser,light lotion moisturizer,centella serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000912,normal,1,4,3,3,ultra gentle cleanser,soothing moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000913,normal,1,4,4,2,milk cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000914,normal,1,4,4,2,ultra gentle cleanser,light lotion moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000915,normal,1,4,4,4,milk cleanser,light lotion moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000916,normal,1,4,5,0,hydrating cleanser,light lotion moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000917,normal,1,4,5,1,acne control cleanser,soothing moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000918,normal,1,4,5,3,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000919,normal,1,5,0,0,milk cleanser,ceramide moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000920,normal,1,5,0,3,gentle foam cleanser,rich cream moisturizer,peptide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000921,normal,1,5,0,3,salicylic acid cleanser,soothing moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000922,normal,1,5,1,1,acne control cleanser,light lotion moisturizer,centella serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000923,normal,1,5,1,3,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000924,normal,1,5,1,5,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000925,normal,1,5,2,0,acne control cleanser,ceramide moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000926,normal,1,5,2,0,hydrating cleanser,soothing moisturizer,hyaluronic acid serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000927,normal,1,5,2,1,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000928,normal,1,5,2,3,salicylic acid cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000929,normal,1,5,3,4,gentle foam cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000930,normal,1,5,5,0,salicylic acid cleanser,soothing moisturizer,centella serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000931,normal,1,5,5,2,gentle foam cleanser,soothing moisturizer,vitamin c serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000932,normal,2,0,0,2,salicylic acid cleanser,oil free gel moisturizer,peptide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000933,normal,2,0,0,3,milk cleanser,light lotion moisturizer,peptide serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000934,normal,2,0,1,5,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000935,normal,2,0,2,5,milk cleanser,soothing moisturizer,niacinamide serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000936,normal,2,0,2,5,salicylic acid cleanser,oil free gel moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000937,normal,2,0,2,5,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000938,normal,2,0,4,1,hydrating cleanser,rich cream moisturizer,centella serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000939,normal,2,0,4,1,ultra gentle cleanser,ceramide moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000940,normal,2,0,5,2,milk cleanser,rich cream moisturizer,vitamin c serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000941,normal,2,1,0,3,milk cleanser,light lotion moisturizer,hyaluronic acid serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000942,normal,2,1,0,4,ultra gentle cleanser,ceramide moisturizer,peptide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000943,normal,2,1,1,2,acne control cleanser,soothing moisturizer,niacinamide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000944,normal,2,1,1,2,gentle foam cleanser,rich cream moisturizer,hyaluronic acid serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000945,normal,2,1,1,3,milk cleanser,ceramide moisturizer,centella serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000946,normal,2,1,1,3,ultra gentle cleanser,soothing moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000947,normal,2,1,1,4,milk cleanser,rich cream moisturizer,niacinamide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000948,normal,2,1,2,2,acne control cleanser,light lotion moisturizer,peptide serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000949,normal,2,1,2,2,acne control cleanser,rich cream moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000950,normal,2,1,2,3,acne control cleanser,light lotion moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000951,normal,2,1,2,4,hydrating cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000952,normal,2,1,3,2,milk cleanser,soothing moisturizer,hyaluronic acid serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000953,normal,2,1,3,4,milk cleanser,rich cream moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000954,normal,2,1,5,3,acne control cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000955,normal,2,1,5,5,ultra gentle cleanser,soothing moisturizer,centella serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000956,normal,2,2,0,0,hydrating cleanser,light lotion moisturizer,hyaluronic acid serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000957,normal,2,2,0,3,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000958,normal,2,2,0,4,milk cleanser,rich cream moisturizer,peptide serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000959,normal,2,2,1,0,hydrating cleanser,light lotion moisturizer,peptide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000960,normal,2,2,1,2,milk cleanser,light lotion moisturizer,niacinamide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000961,normal,2,2,1,5,ultra gentle cleanser,ceramide moisturizer,retinol serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000962,normal,2,2,3,0,hydrating cleanser,rich cream moisturizer,peptide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000963,normal,2,2,3,1,hydrating cleanser,rich cream moisturizer,centella serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000964,normal,2,2,3,3,milk cleanser,light lotion moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000965,normal,2,2,5,3,ultra gentle cleanser,ceramide moisturizer,retinol serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000966,normal,2,2,5,5,salicylic acid cleanser,soothing moisturizer,retinol serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000967,normal,2,3,0,1,gentle foam cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000968,normal,2,3,0,3,hydrating cleanser,oil free gel moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000969,normal,2,3,0,5,gentle foam cleanser,soothing moisturizer,hyaluronic acid serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000970,normal,2,3,1,0,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000971,normal,2,3,1,3,gentle foam cleanser,oil free gel moisturizer,peptide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000972,normal,2,3,1,4,salicylic acid cleanser,rich cream moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000973,normal,2,3,2,1,hydrating cleanser,ceramide moisturizer,niacinamide serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000974,normal,2,3,4,5,milk cleanser,soothing moisturizer,hyaluronic acid serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000975,normal,2,4,0,3,salicylic acid cleanser,rich cream moisturizer,niacinamide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000976,normal,2,4,1,1,acne control cleanser,ceramide moisturizer,niacinamide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000977,normal,2,4,1,2,gentle foam cleanser,oil free gel moisturizer,peptide serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000978,normal,2,4,1,4,hydrating cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000979,normal,2,4,1,4,milk cleanser,ceramide moisturizer,retinol serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000980,normal,2,4,2,0,acne control cleanser,light lotion moisturizer,retinol serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000981,normal,2,4,2,5,hydrating cleanser,ceramide moisturizer,centella serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000982,normal,2,4,4,3,milk cleanser,oil free gel moisturizer,peptide serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000983,normal,2,4,5,0,acne control cleanser,ceramide moisturizer,peptide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000984,normal,2,4,5,0,milk cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000985,normal,2,4,5,0,salicylic acid cleanser,rich cream moisturizer,retinol serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000986,normal,2,4,5,4,milk cleanser,light lotion moisturizer,vitamin c serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000987,normal,2,4,5,4,milk cleanser,soothing moisturizer,retinol serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000988,normal,2,5,0,0,hydrating cleanser,oil free gel moisturizer,peptide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000989,normal,2,5,0,1,ultra gentle cleanser,soothing moisturizer,vitamin c serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000990,normal,2,5,1,3,milk cleanser,soothing moisturizer,peptide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000991,normal,2,5,2,0,ultra gentle cleanser,oil free gel moisturizer,centella serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000992,normal,2,5,2,1,milk cleanser,soothing moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000993,normal,2,5,3,0,hydrating cleanser,rich cream moisturizer,centella serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000994,normal,2,5,3,5,milk cleanser,rich cream moisturizer,vitamin c serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000995,normal,2,5,4,1,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000996,normal,2,5,5,1,milk cleanser,oil free gel moisturizer,peptide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000997,normal,2,5,5,2,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000998,normal,2,5,5,4,gentle foam cleanser,oil free gel moisturizer,centella serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000999,normal,3,0,0,1,gentle foam cleanser,ceramide moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001000,normal,3,0,0,1,milk cleanser,soothing moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001001,normal,3,0,0,3,gentle foam cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001002,normal,3,0,0,5,hydrating cleanser,soothing moisturizer,niacinamide serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001003,normal,3,0,1,1,hydrating cleanser,light lotion moisturizer,retinol serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001004,normal,3,0,1,4,gentle foam cleanser,light lotion moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001005,normal,3,0,3,0,gentle foam cleanser,soothing moisturizer,vitamin c serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001006,normal,3,0,3,1,hydrating cleanser,oil free gel moisturizer,vitamin c serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001007,normal,3,0,3,5,milk cleanser,soothing moisturizer,centella serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001008,normal,3,0,4,0,milk cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001009,normal,3,0,4,5,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001010,normal,3,0,5,0,salicylic acid cleanser,oil free gel moisturizer,peptide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001011,normal,3,0,5,4,acne control cleanser,rich cream moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001012,normal,3,0,5,5,gentle foam cleanser,oil free gel moisturizer,peptide serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001013,normal,3,1,0,1,salicylic acid cleanser,rich cream moisturizer,niacinamide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001014,normal,3,1,0,1,salicylic acid cleanser,soothing moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001015,normal,3,1,0,2,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001016,normal,3,1,0,2,hydrating cleanser,light lotion moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001017,normal,3,1,0,4,gentle foam cleanser,oil free gel moisturizer,niacinamide serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001018,normal,3,1,1,3,salicylic acid cleanser,oil free gel moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
